DetId/i, BinaryDetId/B, Section/C, Layer/I, Ring/I, sensorCenterRho_mm/D, sensorCenterZ_mm/D, phi_deg/D
441205782,00011010010011000100010000010110,TB2S, 1, 8, 706.450000, -736.742363, 120.000000
441205778,00011010010011000100010000010010,TB2S, 1, 9, 699.150000, -827.742363, 120.000000
441205777,00011010010011000100010000010001,TB2S, 1, 9, 700.950000, -827.742363, 120.000000
441205773,00011010010011000100010000001101,TB2S, 1, 10, 704.650000, -930.967712, 120.000000
441205774,00011010010011000100010000001110,TB2S, 1, 10, 706.450000, -930.967712, 120.000000
441205770,00011010010011000100010000001010,TB2S, 1, 11, 699.150000, -1020.096460, 120.000000
441205769,00011010010011000100010000001001,TB2S, 1, 11, 700.950000, -1020.096460, 120.000000
441205765,00011010010011000100010000000101,TB2S, 1, 12, 704.650000, -1123.970618, 120.000000
441205766,00011010010011000100010000000110,TB2S, 1, 12, 706.450000, -1123.970618, 120.000000
441206837,00011010010011000100100000110101,TB2S, 1, 1, 673.050000, 55.491247, 127.500000
441206838,00011010010011000100100000110110,TB2S, 1, 1, 674.850000, 55.491247, 127.500000
441206842,00011010010011000100100000111010,TB2S, 1, 2, 667.550000, 154.090216, 127.500000
441206841,00011010010011000100100000111001,TB2S, 1, 2, 669.350000, 154.090216, 127.500000
441206845,00011010010011000100100000111101,TB2S, 1, 3, 673.050000, 255.043344, 127.500000
441206846,00011010010011000100100000111110,TB2S, 1, 3, 674.850000, 255.043344, 127.500000
441206850,00011010010011000100100001000010,TB2S, 1, 4, 667.550000, 351.483714, 127.500000
441206849,00011010010011000100100001000001,TB2S, 1, 4, 669.350000, 351.483714, 127.500000
441206853,00011010010011000100100001000101,TB2S, 1, 5, 673.050000, 453.102648, 127.500000
441206854,00011010010011000100100001000110,TB2S, 1, 5, 674.850000, 453.102648, 127.500000
441206858,00011010010011000100100001001010,TB2S, 1, 6, 667.550000, 546.102648, 127.500000
441206857,00011010010011000100100001001001,TB2S, 1, 6, 669.350000, 546.102648, 127.500000
441206861,00011010010011000100100001001101,TB2S, 1, 7, 673.050000, 648.378030, 127.500000
441206862,00011010010011000100100001001110,TB2S, 1, 7, 674.850000, 648.378030, 127.500000
441206866,00011010010011000100100001010010,TB2S, 1, 8, 667.550000, 739.378030, 127.500000
441206865,00011010010011000100100001010001,TB2S, 1, 8, 669.350000, 739.378030, 127.500000
441206869,00011010010011000100100001010101,TB2S, 1, 9, 673.050000, 842.305327, 127.500000
441206870,00011010010011000100100001010110,TB2S, 1, 9, 674.850000, 842.305327, 127.500000
441206874,00011010010011000100100001011010,TB2S, 1, 10, 667.550000, 932.393155, 127.500000
441206873,00011010010011000100100001011001,TB2S, 1, 10, 669.350000, 932.393155, 127.500000
441206877,00011010010011000100100001011101,TB2S, 1, 11, 673.050000, 1035.971490, 127.500000
441206878,00011010010011000100100001011110,TB2S, 1, 11, 674.850000, 1035.971490, 127.500000
441206882,00011010010011000100100001100010,TB2S, 1, 12, 667.550000, 1123.964390, 127.500000
441206881,00011010010011000100100001100001,TB2S, 1, 12, 669.350000, 1123.964390, 127.500000
441206834,00011010010011000100100000110010,TB2S, 1, 1, 667.550000, -44.308243, 127.500000
441206833,00011010010011000100100000110001,TB2S, 1, 1, 669.350000, -44.308243, 127.500000
441206829,00011010010011000100100000101101,TB2S, 1, 2, 673.050000, -144.891078, 127.500000
441206830,00011010010011000100100000101110,TB2S, 1, 2, 674.850000, -144.891078, 127.500000
441206826,00011010010011000100100000101010,TB2S, 1, 3, 667.550000, -242.522989, 127.500000
441206825,00011010010011000100100000101001,TB2S, 1, 3, 669.350000, -242.522989, 127.500000
441206821,00011010010011000100100000100101,TB2S, 1, 4, 673.050000, -343.774399, 127.500000
441206822,00011010010011000100100000100110,TB2S, 1, 4, 674.850000, -343.774399, 127.500000
441206818,00011010010011000100100000100010,TB2S, 1, 5, 667.550000, -439.254946, 127.500000
441206817,00011010010011000100100000100001,TB2S, 1, 5, 669.350000, -439.254946, 127.500000
441206813,00011010010011000100100000011101,TB2S, 1, 6, 673.050000, -541.169931, 127.500000
441206814,00011010010011000100100000011110,TB2S, 1, 6, 674.850000, -541.169931, 127.500000
441206810,00011010010011000100100000011010,TB2S, 1, 7, 667.550000, -634.169931, 127.500000
441206809,00011010010011000100100000011001,TB2S, 1, 7, 669.350000, -634.169931, 127.500000
441206805,00011010010011000100100000010101,TB2S, 1, 8, 673.050000, -736.742363, 127.500000
441206806,00011010010011000100100000010110,TB2S, 1, 8, 674.850000, -736.742363, 127.500000
441206802,00011010010011000100100000010010,TB2S, 1, 9, 667.550000, -827.742363, 127.500000
441206801,00011010010011000100100000010001,TB2S, 1, 9, 669.350000, -827.742363, 127.500000
441206797,00011010010011000100100000001101,TB2S, 1, 10, 673.050000, -930.967712, 127.500000
441206798,00011010010011000100100000001110,TB2S, 1, 10, 674.850000, -930.967712, 127.500000
441206794,00011010010011000100100000001010,TB2S, 1, 11, 667.550000, -1020.096460, 127.500000
441206793,00011010010011000100100000001001,TB2S, 1, 11, 669.350000, -1020.096460, 127.500000
441206789,00011010010011000100100000000101,TB2S, 1, 12, 673.050000, -1123.970618, 127.500000
441206790,00011010010011000100100000000110,TB2S, 1, 12, 674.850000, -1123.970618, 127.500000
441207861,00011010010011000100110000110101,TB2S, 1, 1, 704.650000, 55.491247, 135.000000
441207862,00011010010011000100110000110110,TB2S, 1, 1, 706.450000, 55.491247, 135.000000
441207866,00011010010011000100110000111010,TB2S, 1, 2, 699.150000, 154.090216, 135.000000
441207865,00011010010011000100110000111001,TB2S, 1, 2, 700.950000, 154.090216, 135.000000
441207869,00011010010011000100110000111101,TB2S, 1, 3, 704.650000, 255.043344, 135.000000
441207870,00011010010011000100110000111110,TB2S, 1, 3, 706.450000, 255.043344, 135.000000
441207874,00011010010011000100110001000010,TB2S, 1, 4, 699.150000, 351.483714, 135.000000
441207873,00011010010011000100110001000001,TB2S, 1, 4, 700.950000, 351.483714, 135.000000
441207877,00011010010011000100110001000101,TB2S, 1, 5, 704.650000, 453.102648, 135.000000
441207878,00011010010011000100110001000110,TB2S, 1, 5, 706.450000, 453.102648, 135.000000
441207882,00011010010011000100110001001010,TB2S, 1, 6, 699.150000, 546.102648, 135.000000
441207881,00011010010011000100110001001001,TB2S, 1, 6, 700.950000, 546.102648, 135.000000
441207885,00011010010011000100110001001101,TB2S, 1, 7, 704.650000, 648.378030, 135.000000
441207886,00011010010011000100110001001110,TB2S, 1, 7, 706.450000, 648.378030, 135.000000
